date,account,symbol,type,size,price
20240228,윤지_미래_금,GLD,매수,57,87330
20240308,윤지_미래_금,GLD,매수,6,91740
20240311,윤지_미래_금,GLD,매수,1,92530
20240411,윤지_미래_금,GLD,매도,-3,103440
20240415,윤지_미래_금,GLD,매도,-3,107960
20240510,윤지_미래_금,GLD,매수,5,103810
20240812,윤지_미래_금,GLD,매수,4,108780
20241129,윤지_미래_금,GLD,매수,2,120000
20241202,윤지_미래_금,GLD,매수,10,119440
20250114,윤지_미래_금,GLD,매수,5,129450
20250212,윤지_미래_금,GLD,매수,2,159250
20250213,윤지_미래_금,GLD,매수,13,161180
20250219,윤지_미래_금,GLD,매수,6,155400
20250220,윤지_미래_금,GLD,매수,7,147800
20250224,윤지_미래_금,GLD,매수,1,147230
20250224,윤지_미래_금,GLD,매수,6,147240
20250227,윤지_미래_금,GLD,매수,7,138990
20250331,윤지_미래_금,GLD,매도,-34,147970
20250401,윤지_미래_금,GLD,매도,-7,150510
20250404,윤지_미래_금,GLD,매도,-13,146220
20250407,윤지_미래_금,GLD,매도,-14,142370
20250407,윤지_미래_금,GLD,매도,-14,142810
20250424,윤지_미래_금,GLD,매도,-4,153590
20250512,윤지_미래_금,GLD,매수,4,148690
20250515,윤지_미래_금,GLD,매수,3,143720
20241108,윤지_키움_연금,KODEX_QQQ,매수,106,18775
20241125,윤지_키움_연금,KODEX_QQQ,매수,104,19190
20241203,윤지_키움_연금,KODEX_SPY,매수,105,19160
20250122,윤지_키움_연금,KODEX_SPY,매수,50,19875
20250205,윤지_키움_연금,KODEX_QQQ,매수,49,20525
20250213,윤지_키움_연금,KODEX_SPY,매수,99,20110
20250219,윤지_키움_연금,KODEX_QQQ,매수,94,21345
20250509,윤지_키움_연금,KODEX_QQQ,매수,1,18570
20250512,윤지_키움_연금,KODEX_QQQ,매수,1,18530
20241209,윤지_키움_ISA,TIGER_SCHD,매수,153,13050
20250103,윤지_키움_ISA,TIGER_SCHD,매수,78,12725
20250115,윤지_키움_ISA,TIGER_SCHD,매수,158,12685
20250122,윤지_키움_ISA,TIGER_SCHD,매수,143,12995
20250205,윤지_키움_ISA,KODEX_QQQ,매수,48,20520
20250328,윤지_키움_ISA,TIGER_SCHD,매도,62,12960
20250328,윤지_키움_ISA,KODEX_SPY,매수,41,19395
20250328,윤지_키움_ISA,KODEX_QQQ,매수,3,19905
20250404,윤지_키움_ISA,KODEX_QQQ,매수,1,19005
20250409,윤지_키움_ISA,KODEX_SPY,매수,121,16480
20250409,윤지_키움_ISA,KODEX_QQQ,매수,123,16340
20250512,윤지_키움_ISA,KODEX_SPY,매수,1,17960
20250512,윤지_키움_ISA,KODEX_QQQ,매수,1,18530
20250609,윤지_키움_ISA,KODEX_SPY,매수,1,18725
20240313,윤지_키움_해외,SPY_USD,매수,3,515.3
20240313,윤지_키움_해외,SPY_USD,매수,1,515.27
20240313,윤지_키움_해외,TLT_USD,매수,10,96.16
20240418,윤지_키움_해외,SPY_USD,매도,-1,511.8
20240418,윤지_키움_해외,TLT_USD,매수,5,89.89
20240516,윤지_키움_해외,SPY_USD,매수,1,520.8
20240516,윤지_키움_해외,TLT_USD,매수,10,90.65
20240711,윤지_키움_해외,TLT_USD,매수,1,92.73
20240723,윤지_키움_해외,TLT_USD,매도,-26,92.93
20240816,윤지_키움_해외,QQQM_USD,매수,2,186.78
20241104,윤지_키움_해외,IVV_USD,매수,5,578.09
20241104,윤지_키움_해외,SCHD_USD,매수,83,28.14
20241104,윤지_키움_해외,SPLG_USD,매수,1,67.68
20241108,윤지_키움_해외,IVV_USD,매수,5,592.61
20241128,윤지_키움_해외,IVV_USD,매수,1,592.26
20241203,윤지_키움_해외,SCHD_USD,매수,49,29.59
20241203,윤지_키움_해외,IBM_USD,매수,10,227.29
20241203,윤지_키움_해외,TLT_USD,매수,30,93.57
20241205,윤지_키움_해외,TLT_USD,매수,1,93.6
20241205,윤지_키움_해외,SPY_USD,매도,-4,603.88
20241205,윤지_키움_해외,IVV_USD,매수,2,606.78
20241205,윤지_키움_해외,IVV_USD,매수,1,606.21
20241206,윤지_키움_해외,SCHD_USD,매수,70,29.21
20241206,윤지_키움_해외,TLT_USD,매수,15,92.57
20241210,윤지_키움_해외,TLT_USD,매수,15,94.23
20241218,윤지_키움_해외,TLT_USD,매수,8,90.53
20241224,윤지_키움_해외,SCHD_USD,매수,40,27.29
20241226,윤지_키움_해외,SCHD_USD,매수,1,27.4
20241227,윤지_키움_해외,SCHD_USD,매수,1,27.98
20241230,윤지_키움_해외,TLT_USD,매수,5,87.43
20241230,윤지_키움_해외,TLT_USD,매수,5,87.4
20250116,윤지_키움_해외,GOOGL_USD,매수,4,192.63
20250116,윤지_키움_해외,TLT_USD,매수,8,85.52
20250205,윤지_키움_해외,MSFT_USD,매수,2,408.95
20250214,윤지_키움_해외,QQQM_USD,매수,4,211.45
20250314,윤지_키움_해외,SCHD_USD,매수,25,27.55
20250327,윤지_키움_해외,SCHD_USD,매수,1,27.87
20250404,윤지_키움_해외,SCHD_USD,매수,1,27.78
20250407,윤지_키움_해외,SCHD_USD,매수,1,28.11
20250407,윤지_키움_해외,SCHD_USD,매수,2,27.85
20250407,윤지_키움_해외,TLT_USD,매도,-15,92.48
20250407,윤지_키움_해외,TLT_USD,매도,-14,92.29
20250407,윤지_키움_해외,IVV_USD,매수,2,551.02
20250408,윤지_키움_해외,SCHD_USD,매수,10,27.51
20250408,윤지_키움_해외,SCHD_USD,매수,48,26.99
20250408,윤지_키움_해외,TLT_USD,매도,-14,93.69
20250408,윤지_키움_해외,TLT_USD,매도,-14,94.18
20250408,윤지_키움_해외,IVV_USD,매수,2,535.3
20250408,윤지_키움_해외,IVV_USD,매수,2,519.88
20250408,윤지_키움_해외,SPLG_USD,매수,3,62.75
20250408,윤지_키움_해외,SPLG_USD,매수,5,60.83
20250415,윤지_키움_해외,SCHD_USD,매수,2,24.955
20250513,윤지_키움_해외,SCHD_USD,매수,83,25.78
20250513,윤지_키움_해외,SCHD_USD,매수,28,25.7984
20250513,윤지_키움_해외,TLT_USD,매수,3,87.125
20250514,윤지_키움_해외,IVV_USD,매수,1,581.67
20250514,윤지_키움_해외,SCHD_USD,매수,83,26.09
20250514,윤지_키움_해외,SCHD_USD,매수,3,26.1
20250521,윤지_키움_해외,IVV_USD,매수,1,590.17
20250521,윤지_키움_해외,IVV_USD,매수,2,589.2
20250521,윤지_키움_해외,QQQM_USD,매수,7,211.6
20250521,윤지_키움_해외,SCHD_USD,매수,30,26.39
20250521,윤지_키움_해외,SCHD_USD,매수,1,26.42
20250213,태규_키움_ISA,KODEX_SPY,매수,100,20110
20250213,태규_키움_ISA,TIGER_SCHD,매수,156,12750
20250214,태규_키움_ISA,KODEX_QQQ,매수,94,21055
20250214,태규_키움_ISA,KODEX_QQQ,매수,95,21060
20250219,태규_키움_ISA,KODEX_QQQ,매수,94,21355
20250305,태규_키움_ISA,KODEX_QQQ,매수,50,20110
20250312,태규_키움_ISA,KODEX_SPY,매수,210,19095
20250312,태규_키움_ISA,KODEX_SPY,매수,158,18955
20250312,태규_키움_ISA,KODEX_QQQ,매수,310,19345
20250402,태규_키움_ISA,KODEX_SPY,매수,107,18670
20250402,태규_키움_ISA,KODEX_SPY,매수,214,18680
20250404,태규_키움_ISA,KODEX_SPY,매수,1,18885
20250408,태규_키움_ISA,KODEX_SPY,매수,56,17785
20250213,태규_키움_해외,GOOGL_USD,매수,5,186.25
20250213,태규_키움_해외,GOOGL_USD,매수,2,186.27
20250213,태규_키움_해외,SPLG_USD,매수,1,71
20250227,태규_키움_해외,QQQM_USD,매수,6,213.22
20250227,태규_키움_해외,SPLG_USD,매수,1,70.14
20250303,태규_키움_해외,GOOGL_USD,매수,4,174.07
20250312,태규_키움_해외,SCHD_USD,매수,50,28.28
20250312,태규_키움_해외,SCHD_USD,매수,8,28.27
20250312,태규_키움_해외,SCHD_USD,매수,88,28.28
20250312,태규_키움_해외,SCHD_USD,매수,1,28.28
20250402,태규_키움_해외,IVV_USD,매수,1,554.3
20250402,태규_키움_해외,SPLG_USD,매수,2,64.88
20250403,태규_키움_해외,SCHD_USD,매수,24,27.93
20250408,태규_키움_해외,SCHD_USD,매수,50,26.62
20250408,태규_키움_해외,SCHD_USD,매수,27,25.785
20250409,태규_키움_해외,IVV_USD,매수,5,496.56
20250409,태규_키움_해외,IVV_USD,매수,2,498.41
20250409,태규_키움_해외,QQQM_USD,매수,4,170.14
20250409,태규_키움_해외,SCHD_USD,매수,110,24.67
20250409,태규_키움_해외,SCHD_USD,매수,138,24.615
20250409,태규_키움_해외,SCHD_USD,매수,41,24.6882
20250409,태규_키움_해외,SPLG_USD,매수,4,58.26
20250414,태규_키움_해외,SCHD_USD,매수,52,25.73
20250414,태규_키움_해외,SCHD_USD,매수,53,25.47
20250414,태규_키움_해외,SCHD_USD,매수,46,25.48
20250414,태규_키움_해외,SCHD_USD,매수,12,25.49
